Question,Ref_Answer,DocID,Category
"Where is Lunar Bots, Roll Out! taking place?","Midway Activities Tent, The Cut",Events_data/Documents/Apr-11_Eventno_17_LunarBotsRollOut.txt,Events
"Can you tell me more about the Lunar Bots, Roll Out!?","Lunar Bots will be in the Activities Tent, which is #3 on the map.  Come check out CMU's lunar rovers, meet the students who just operated the first American robotic lunar rover in space at irisrover.space, drive one of our test robots, and get some cool space mission merch! Follow us on Instagram @iris_rover and @cmumoonranger. Additional weekend hours are 11 a.m.-7 p.m. on Friday and Saturday.  Note: No registration required. No event fee. This event is open to the CMU community.",Events_data/Documents/Apr-11_Eventno_17_LunarBotsRollOut.txt,Events
What is the timing for the Mixed Reality: A Virtual Reality Escape Room Experience?,Timings for Mixed Reality: A Virtual Reality Escape Room Experience are 3:00 PM-11:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_11_MixedRealityAVirtualRealityEscapeRoomExperience.txt,Events
Who can attend Mixed Reality: A Virtual Reality Escape Room Experience?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_11_MixedRealityAVirtualRealityEscapeRoomExperience.txt,Events
Where is Mixed Reality: A Virtual Reality Escape Room Experience taking place?,Location TBA,Events_data/Documents/Apr-11_Eventno_11_MixedRealityAVirtualRealityEscapeRoomExperience.txt,Events
Can you tell me more about the Mixed Reality: A Virtual Reality Escape Room Experience?,"Get ready to experience an evolution of gaming as participants step through a Meta Quest 3-powered walkthrough/escape room with interactive installations. This project is part of the LBE Project Showcase, which is hosted by master's students from the Entertainment Technology Center (ETC).  Note: No advance registration required. No event fee. This event is open to the entire CMU community and their guests. This experience is recommended for children ages 12 and older.",Events_data/Documents/Apr-11_Eventno_11_MixedRealityAVirtualRealityEscapeRoomExperience.txt,Events
What is the timing for the Reunion Welcome Back Happy Hour?,Timings for Reunion Welcome Back Happy Hour are 5:00 PM-7:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_23_ReunionWelcomeBackHappyHour.txt,Events
Who can attend Reunion Welcome Back Happy Hour?,Reunion Exclusive.,Events_data/Documents/Apr-11_Eventno_23_ReunionWelcomeBackHappyHour.txt,Events
Where is Reunion Welcome Back Happy Hour taking place?,"Reunion Tent, The Cut",Events_data/Documents/Apr-11_Eventno_23_ReunionWelcomeBackHappyHour.txt,Events
Can you tell me more about the Reunion Welcome Back Happy Hour?,The Reunion Tent is #4 on the map.  Kick off Reunion Weekend at Spring Carnival with a casual happy hour gathering for all Reunion classes. Appetizers and drinks provided.  Note: Registration requested. No event fee. This event is open to alumni Reunion celebrants and their guests only.,Events_data/Documents/Apr-11_Eventno_23_ReunionWelcomeBackHappyHour.txt,Events
What is the timing for the Carnival Activities Tent?,Timings for Carnival Activities Tent are 3:00 PM-7:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_9_CarnivalActivitiesTent.txt,Events
Who can attend Carnival Activities Tent?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_9_CarnivalActivitiesTent.txt,Events
Where is Carnival Activities Tent taking place?,"Midway, The Cut",Events_data/Documents/Apr-11_Eventno_9_CarnivalActivitiesTent.txt,Events
Can you tell me more about the Carnival Activities Tent?,"The Activities Tent is #3 on the map.  Featuring entertainment and games for students, alumni, faculty and staff throughout the entire weekend. Sponsored by the Spring Carnival Committee and the CMU Alumni Association.  Activities include:  Eid Celebration (3-5 p.m.) Crafting with HR Family Care Initiatives (3-6 p.m.) Lunar Bots Demo (3-7 p.m.) Photobooth with takeaway (3-7 p.m.) Arcade games (3-7 p.m.) Face painter (3:30-5:30 p.m.) Balloon artist (5-7 p.m.) Airbrush artist (5-7 p.m.)  Note: No registration required. No event fee. This event is open to students, faculty, staff and alumni. Parents: Check out the separate kidzone area for kid-focused fun and activities.  Weekend hours:  Thursday: 3-7 p.m. Friday & Saturday: 11 a.m. to 7 p.m.",Events_data/Documents/Apr-11_Eventno_9_CarnivalActivitiesTent.txt,Events
What is the timing for the Dog Houses Display?,Timings for Dog Houses Display are 3:00 PM-11:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_16_DogHousesDisplay.txt,Events
Who can attend Dog Houses Display?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_16_DogHousesDisplay.txt,Events
Where is Dog Houses Display taking place?,Between CUC Pillars,Events_data/Documents/Apr-11_Eventno_16_DogHousesDisplay.txt,Events
Can you tell me more about the Dog Houses Display?,"The Dog Houses display is #7 on the map.  In addition to Booth, be sure to check out the creative dog houses built by various CMU organizations and groups.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.  Weekend hours:  Thursday: 3-11 p.m. Friday and Saturday: 11 a.m.-11 p.m.",Events_data/Documents/Apr-11_Eventno_16_DogHousesDisplay.txt,Events
"What is the timing for the Inventing Shakespeare: Text, Technology and The Four Folios?","Timings for Inventing Shakespeare: Text, Technology and The Four Folios are 8:00 AM-6:00 PM ET on 4/11/24.",Events_data/Documents/Apr-11_Eventno_1_InventingShakespeareTextTechnologyandTheFourFolios.txt,Events
"Who can attend Inventing Shakespeare: Text, Technology and The Four Folios?",Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_1_InventingShakespeareTextTechnologyandTheFourFolios.txt,Events
"Where is Inventing Shakespeare: Text, Technology and The Four Folios taking place?","Smith Exhibit Space, 1st Floor, Hunt Library",Events_data/Documents/Apr-11_Eventno_1_InventingShakespeareTextTechnologyandTheFourFolios.txt,Events
"Can you tell me more about the Inventing Shakespeare: Text, Technology and The Four Folios?","Inventing Shakespeare tells the little known story of technological innovation, instrumentation and mechanical prototyping inspired by research into Shakespeare’s most famous book. Objects in the exhibit range from a fully immersive VR tour of a reconstructed Shakespearean playhouse, a 1960s-era mechanical collator designed to compare multiple copies of the First Folio, and fragments of the folios themselves.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-11_Eventno_1_InventingShakespeareTextTechnologyandTheFourFolios.txt,Events
What is the timing for the Spring Carnival Midway Opening Ceremony?,Timings for Spring Carnival Midway Opening Ceremony are 3:00 PM-3:30 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_13_SpringCarnivalMidwayOpeningCeremony.txt,Events
Who can attend Spring Carnival Midway Opening Ceremony?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_13_SpringCarnivalMidwayOpeningCeremony.txt,Events
Where is Spring Carnival Midway Opening Ceremony taking place?,"Diagonal Walkway, Midway Entryway, The Cut (rain location: Kirr Commons)",Events_data/Documents/Apr-11_Eventno_13_SpringCarnivalMidwayOpeningCeremony.txt,Events
Can you tell me more about the Spring Carnival Midway Opening Ceremony?,"Join the Spring Carnival committee, Pipes & Drums Band and Scotty as we celebrate the opening of Midway!  Can't make it back to campus? Sign up for the calendar hold hold - we'll add the livestream link a week prior, as well as send an event reminder with link 24-hours and one-hour prior.  Note: No registration required for in-person event. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-11_Eventno_13_SpringCarnivalMidwayOpeningCeremony.txt,Events
What is the timing for the Booth!?,Timings for Booth! are 3:00 PM-11:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_14_Booth.txt,Events
Who can attend Booth!?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_14_Booth.txt,Events
Where is Booth! taking place?,CFA Parking Lot,Events_data/Documents/Apr-11_Eventno_14_Booth.txt,Events
Can you tell me more about the Booth!?,Booth is #9 on the map.  This year’s theme is “Arcade: Let the Games Begin.” Be sure to check out every booth and cast your vote for the top choice in each category.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.  Weekend hours:  Thursday: 3-11 p.m. Friday & Saturday: 11 a.m.-11 p.m.,Events_data/Documents/Apr-11_Eventno_14_Booth.txt,Events
What is the timing for the Project Olympus Show & Tell?,Timings for Project Olympus Show & Tell are 4:00 PM-6:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_20_ProjectOlympusShowTell.txt,Events
Who can attend Project Olympus Show & Tell?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_20_ProjectOlympusShowTell.txt,Events
Where is Project Olympus Show & Tell taking place?,Swartz Center for Entrepreneurship,Events_data/Documents/Apr-11_Eventno_20_ProjectOlympusShowTell.txt,Events
Can you tell me more about the Project Olympus Show & Tell?,Meet current student and alumni entrepreneurs at this showcase of research with a focus on startups and spin-offs. Learn more on the Show and Tell website.,Events_data/Documents/Apr-11_Eventno_20_ProjectOlympusShowTell.txt,Events
What is the timing for the Carnival Wellness Tent?,Timings for Carnival Wellness Tent are 3:00 PM-7:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_12_CarnivalWellnessTent.txt,Events
Who can attend Carnival Wellness Tent?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_12_CarnivalWellnessTent.txt,Events
Where is Carnival Wellness Tent taking place?,"Midway, The Cut",Events_data/Documents/Apr-11_Eventno_12_CarnivalWellnessTent.txt,Events
Can you tell me more about the Carnival Wellness Tent?,"The Wellness Tent is #5 on the map.  Relax and breathe with calming activities, sessions, information on new university wellness initiatives and much more. Sponsored by Wellness Initiatives and the CMU Alumni Association.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.  Weekend hours:  Thursday: 3-7 p.m. Friday & Saturday: 11 a.m. to 7 p.m.",Events_data/Documents/Apr-11_Eventno_12_CarnivalWellnessTent.txt,Events
What is the timing for the Carnival Rides?,Timings for Carnival Rides are 3:00 PM-11:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_15_CarnivalRides.txt,Events
Who can attend Carnival Rides?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_15_CarnivalRides.txt,Events
Where is Carnival Rides taking place?,"Midway, The Cut",Events_data/Documents/Apr-11_Eventno_15_CarnivalRides.txt,Events
Can you tell me more about the Carnival Rides?,Be sure to check out all of the rides and activities. Note: Individual tickets or all-day passes may be purchased onsite at the vendor’s ticketing booth.  Weekend hours:  Thursday: 3-11 p.m. Friday & Saturday: 11 a.m.-11 p.m.,Events_data/Documents/Apr-11_Eventno_15_CarnivalRides.txt,Events
What is the timing for the Buggy Alumni Association Welcome Event?,Timings for Buggy Alumni Association Welcome Event are 7:00 PM-9:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_26_BuggyAlumniAssociationWelcomeEvent.txt,Events
Who can attend Buggy Alumni Association Welcome Event?,Open to Buggy community.,Events_data/Documents/Apr-11_Eventno_26_BuggyAlumniAssociationWelcomeEvent.txt,Events
Where is Buggy Alumni Association Welcome Event taking place?,No information mentioned on the website.,Events_data/Documents/Apr-11_Eventno_26_BuggyAlumniAssociationWelcomeEvent.txt,Events
Can you tell me more about the Buggy Alumni Association Welcome Event?,Join the Buggy Alumni Association for food and drinks and make your predictions for the Sweepstakes prelims.  Note: Pay on your own at restaurant. Open to members of the Buggy community.,Events_data/Documents/Apr-11_Eventno_26_BuggyAlumniAssociationWelcomeEvent.txt,Events
What is the timing for the Here to Stay: Celebrating 40 Years at the Architecture Archives?,Timings for Here to Stay: Celebrating 40 Years at the Architecture Archives are 8:00 AM-6:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_2_HeretoStayCelebrating40YearsattheArchitectureArchives.txt,Events
Who can attend Here to Stay: Celebrating 40 Years at the Architecture Archives?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_2_HeretoStayCelebrating40YearsattheArchitectureArchives.txt,Events
Where is Here to Stay: Celebrating 40 Years at the Architecture Archives taking place?,"4th Floor, Hunt Library",Events_data/Documents/Apr-11_Eventno_2_HeretoStayCelebrating40YearsattheArchitectureArchives.txt,Events
Can you tell me more about the Here to Stay: Celebrating 40 Years at the Architecture Archives?,"For the past 40 years, the Architecture Archives collections at Carnegie Mellon University has documented thousands of projects and the work of hundreds of designers. The exhibition highlights the wide diversity of materials from preliminary sketches to presentation renderings to specifications and photographs to publications and select architectural models which help piece together the rich history of the built environment of Pittsburgh and the region.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-11_Eventno_2_HeretoStayCelebrating40YearsattheArchitectureArchives.txt,Events
What is the timing for the C#'s Carnival Concert?,Timings for C#'s Carnival Concert are 4:30 PM-6:30 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_22_CsCarnivalConcert.txt,Events
Who can attend C#'s Carnival Concert?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_22_CsCarnivalConcert.txt,Events
Where is C#'s Carnival Concert taking place?,Legacy Plaza,Events_data/Documents/Apr-11_Eventno_22_CsCarnivalConcert.txt,Events
Can you tell me more about the C#'s Carnival Concert?,"Celebrate the first day of Carnival at C#'s Carnival Concert. Performances from all three branches of C# (a cappella, choir and concert groups) as well as guest appearances from other groups and soloists around campus.  Note: No registration required. No event fee. Time subject to change. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-11_Eventno_22_CsCarnivalConcert.txt,Events
What is the timing for the Activities Board Spring Carnival Speakers Show?,Timings for Activities Board Spring Carnival Speakers Show are 7:00 PM-10:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_25_ActivitiesBoardSpringCarnivalSpeakersShow.txt,Events
Who can attend Activities Board Spring Carnival Speakers Show?,CMU Community Members with CMU ID or Alumni with Ticket.,Events_data/Documents/Apr-11_Eventno_25_ActivitiesBoardSpringCarnivalSpeakersShow.txt,Events
Where is Activities Board Spring Carnival Speakers Show taking place?,Location TBA,Events_data/Documents/Apr-11_Eventno_25_ActivitiesBoardSpringCarnivalSpeakersShow.txt,Events
Can you tell me more about the Activities Board Spring Carnival Speakers Show?,"Performer(s) will be added after the Activities Board Speakers committee officially makes their announcement. ""Like"" Activities Board on Instagram for updates on artists, giveaways and location.  Note: Time may change. Tickets details and information to be added in the coming weeks.",Events_data/Documents/Apr-11_Eventno_25_ActivitiesBoardSpringCarnivalSpeakersShow.txt,Events
What is the timing for the Molly's Trolleys Reunion Tours?,Timings for Molly's Trolleys Reunion Tours are 10:30 AM-3:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_4_MollysTrolleysReunionTours.txt,Events
Who can attend Molly's Trolleys Reunion Tours?,Reunion Exclusive.,Events_data/Documents/Apr-11_Eventno_4_MollysTrolleysReunionTours.txt,Events
Where is Molly's Trolleys Reunion Tours taking place?,Starting location: Reunion Tent,Events_data/Documents/Apr-11_Eventno_4_MollysTrolleysReunionTours.txt,Events
