EventName,Date,Time,Location,Participants,Details,DocID
Current & Former CMU AAB Member Coffee Catch Up (Private Event),4/13/24,1:00 PM-2:30 PM ET,Location TBA,Private Event,Attention Alumni Association Board Alumni: Calling all current and past members of the CMU AAB! Join us for a casual AABA Network Social to catch up and reconnect with current and former Carnegie Mellon Alumni Association Board members.  Note: Private event. No event fee. This event is for alumni and current members of the Alumni Association Board only.,Events_data/Documents/Apr-13_Eventno_35_CurrentFormerCMUAABMemberCoffeeCatchUpPrivateEvent.txt
25th Reunion Dinner Reception (Class of 1999),4/13/24,6:00 PM-9:00 PM ET,"Alumni Concert Hall, CFA",Reunion Exclusive,"Celebrate your reunion in the beautiful College of Fine Arts! Enjoy a variety of food stations, beverages and desserts and toast to an amazing 25 years with fellow classmates from the Class of 1999!  Note: Registration required. This event is open to the Class of 1999 and their guests only.  Cost  Adult Now through Feb. 23: $35 per person 12 years of age and older. Feb. 24 through Apr. 5: $45 per person 12 years of age and older. Child Now through Feb. 23: $15 per person ages 6-12. Feb. 24 through Apr. 5: $20 per person ages 6-12.",Events_data/Documents/Apr-13_Eventno_52_25thReunionDinnerReceptionClassof1999.txt
Civil and Environmental Engineering Buggy Breakfast,4/13/24,8:30 AM-10:30 AM ET,"Tung Au Lab (Room 107), Porter Hall",Open to the CEE Community,"Buggy watch party for Civil and Environmental Engineering (CEE) students, alumni, faculty, staff and their families. The 2024 CEE Alumni Award recipients will also be recognized during the event.  Note: Registration required. No event fee. This event is open to the CEE community and their guests.",Events_data/Documents/Apr-13_Eventno_7_CivilandEnvironmentalEngineeringBuggyBreakfast.txt
Activities Board Spring Carnival Concert,4/13/24,7:00 PM-10:00 PM ET,"Wiegand Gym, 1st Floor, CUC",CMU Community Members with CMU ID or Alumni with Ticket,"Performer(s) will be added after the Activities Board Concerts committee officially makes their announcement. Doors open at 7 p.m. Follow the Activities Board on Facebook and Instagram for updates on artists, giveaways and location!  Students, Faculty and Staff: Tickets will be placed on CarnegieMellonTickets.com when tickets become available several weeks prior to event. Must have valid CMU ID to secure tickets. Alumni: Limited number of tickets available through Carnival registration.",Events_data/Documents/Apr-13_Eventno_55_ActivitiesBoardSpringCarnivalConcert.txt
WRCT's 75th Anniversary Reception,4/13/24,1:00 PM-3:00 PM ET,Location TBA,Open to WRCT community,"Join current WRCT leadership for this casual reception as we celebrate 75 years. At 1:30 pm, we'll share highlights from the past 75 years, as well as share some goals for the future. We hope you are able to drop by!  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the WRCT community, alumni and their guests.",Events_data/Documents/Apr-13_Eventno_34_WRCTs75thAnniversaryReception.txt
Kidzone Tent,4/13/24,11:00 AM-7:00 PM ET,"Midway, The Cut",Open to entire CMU community,The Kidzone Tent is #8 on the map.  Attention families: Check out games and activities specifically geared toward the younger Tartans ages 8 and under. Sponsored by the Alumni Association.  Note: No registration required. No event fee.  Activities include:  Snacks Mini prize wheel Montessori-inspired games Balloon artist Face painter Weekend hours:  Thursday: 3-7 p.m. Friday & Saturday: 11 a.m.-7 p.m.,Events_data/Documents/Apr-13_Eventno_21_KidzoneTent.txt
"Inventing Shakespeare: Text, Technology and The Four Folios",4/13/24,9:00 AM-9:00 PM ET,"4th Floor, Hunt Library",Open to entire CMU community,"Inventing Shakespeare tells the little known story of technological innovation, instrumentation and mechanical prototyping inspired by research into Shakespeare’s most famous book. Objects in the exhibit range from a fully immersive VR tour of a reconstructed Shakespearean playhouse, a 1960s-era mechanical collator designed to compare multiple copies of the First Folio, and fragments of the folios themselves.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-13_Eventno_8_InventingShakespeareTextTechnologyandTheFourFolios.txt
50th Reunion Dinner Reception (1974),4/13/24,6:00 PM-9:00 PM ET,Pittsburgh Golf Club,Reunion Exclusive,"Reconnect with former classmates at this signature 50th Reunion celebration for the Class of 1974 at the beautiful Pittsburgh Golf Club. Cocktail reception followed by dinner.  Note: Registration required. This event is open to the Class of 1974, Half Century Tartans and their guests only.  Meal Selections and Cost  Meal selection options: Beef, salmon or vegetarian Cost Now through Feb. 23: $94 per person. Feb. 24 through Apr. 5: $99 per person.",Events_data/Documents/Apr-13_Eventno_54_50thReunionDinnerReception1974.txt
Carnival Rides,4/13/24,11:00 AM-11:00 PM ET,"Midway, The Cut",Open to entire CMU community,"Be sure to check out all of the rides and activities, including traditions like ferris wheel and swings. There will also be a special kid's ride area.  Weekend hours:  Thursday: 3:30-11 p.m. Friday & Saturday: 11 a.m.-11 p.m.  Note: No registration required. Individual tickets or all-day passes may be purchased onsite at the vendor’s ticketing booth.",Events_data/Documents/Apr-13_Eventno_18_CarnivalRides.txt
Carnegie Mellon Racing 2024 Rollout,4/13/24,2:30 PM-3:30 PM ET,"Studio Theater, 1st Floor, CUC",,"Join the Carnegie Mellon Racing (CMR) team as we unveil our two race cars, designed and built from scratch by a group of 100interdisciplinary students to compete in the Formula SAE competition. Learn more on our website.  Note: No registration required. No event fee. This event is open to the CMU community.",Events_data/Documents/Apr-13_Eventno_43_CarnegieMellonRacing2024Rollout.txt
1st Reunion Pre-AB Concert Tailgate (2023),4/13/24,6:00 PM-7:00 PM ET,"Danforth Conference Room and Lounge, 2nd Floor, Cohon University Center",Reunion Exclusive,"Join fellow alumni for a Class of 2023 first reunion! Enjoy a variety of food stations, beverages and desserts!  Note: Registration required. No event fee. This event is open to the Class of 2023 and their guests.",Events_data/Documents/Apr-13_Eventno_53_1stReunionPreABConcertTailgate2023.txt
Meet & Greet with the Beep-Boop,4/13/24,11:00 AM-11:00 PM ET,Legacy Plaza,Open to entire CMU community,"The audible crosswalk annunciator that protected our community at Forbes and Morewood is back! Press the cross button worn smooth by thousands running late to class.  First-years: If you missed it at Homecoming, now is the time to meet the campus legend. Veteran Boopers: Rekindle your love with a Beep-Boop selfie.  Weekend hours:  Thursday: 3-11 p.m. Friday and Saturday: 11 a.m.-11 p.m.  Note: No registration required. Walk-ins welcome. No event fee. This event is open to the entire CMU community and Carnival guests. ",Events_data/Documents/Apr-13_Eventno_17_MeetGreetwiththeBeepBoop.txt
Delta Upsilon Alumni Association Board Meeting,4/13/24,2:00 PM-4:00 PM ET,Location TBA,Open to DU Community,Join the DU Alumni Board for our annual meeting. This event is an open meeting and is not limited to board members.  Can't make it back to campus? Be sure to register for the livestream during registration.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the DU community.,Events_data/Documents/Apr-13_Eventno_38_DeltaUpsilonAlumniAssociationBoardMeeting.txt
"Reunion Middle Years Reception (Classes of 1979, 1984, 1989 and 1994)",4/13/24,6:00 PM-8:00 PM ET,"Reunion Tent, The Cut",Reunion Exclusive,"The Reunion Tent is #4 on the map.  Reconnect with former classmates at this signature reunion event. Enjoy a variety of food stations, beverages and desserts!  Note: Registration required. This event is open to the Classes of 1979, 1984, 1989 and 1994 and their guests only.  Cost  Adult Now through Feb. 23: $35 per person 12 years of age and older. Feb. 24 through Apr. 5: $40 per person 12 years of age and older. Child Now through Feb. 23: $15 per person ages 6-11. Feb 24. through Apr. 5: $25 per person ages 6-11.",Events_data/Documents/Apr-13_Eventno_51_ReunionMiddleYearsReceptionClassesof197919841989and1994.txt
SCS Breakfast & Buggy,4/13/24,9:00 AM-12:00 PM ET,"Rooms 6121 and 6115, as well as the main hallway, Gates",Open to the SCS community,The School of Computer Science (SCS) will host a breakfast buffet for all SCS alumni and livestream the buggy races.  Note: No registration required. No event fee. This event is for SCS community alumni and their guests.,Events_data/Documents/Apr-13_Eventno_11_SCSBreakfastBuggy.txt
SRS Post-Sweepstakes Awards Gathering,4/13/24,5:45 PM-6:45 PM ET,"Room 100 (Gregg Hall), Porter Hall",Open to SRS Community,"Join SPIRIT Racing Systems (SRS) alumni, students, friends and family for an update on and celebration of SRS and their accomplishments. Can't make it back to campus? We'll livestream the gathering, so be sure to sign up for the livestream event during registration.  Note: Registration required. Walk-ins are welcome if space permits. No event fee. Open to the Kiltie community and guests.",Events_data/Documents/Apr-13_Eventno_50_SRSPostSweepstakesAwardsGathering.txt
Crafting with the Spring Carnival Committee,4/13/24,1:00 PM-3:00 PM ET,,Open to entire CMU community,"The Spring Carnival Committee (SCC) invites the CMU community to join them in some fun crafting projects in the Activities Tent, which is #3 on the map.  Note: Registration not required. No event fee.",Events_data/Documents/Apr-13_Eventno_31_CraftingwiththeSpringCarnivalCommittee.txt
Sigma Phi Epsilon Annual Alumni BBQ,4/13/24,2:30 PM-4:30 PM ET,"1057 Morewood Ave, front porch",Open to the Sigma Phi Epsilon community and their guests,Join current and alumni SigEp brothers in celebrating Carnival with some grilled meats at the SigEp House! Vegetarian and Vegan options will be provided upon request. ,Events_data/Documents/Apr-13_Eventno_42_SigmaPhiEpsilonAnnualAlumniBBQ.txt
Tartans on the Rise (Invitation Only),4/13/24,4:00 PM-5:30 PM ET,,"Private event, invitation only","Tartans on the Rise celebrates recent alumni who are making an impact in their organizations and in their communities, across the nation and around the world through leadership, innovation and career achievements. Check out the Tartans on the Rise campus display outside the Purnell Center throughout the weekend to learn more about the slate of recent alumni being recognized.  Note: Separate registration required.",Events_data/Documents/Apr-13_Eventno_48_TartansontheRiseInvitationOnly.txt
"The Highmark Center for Health, Wellness and Athletics Tours",4/13/24,1:00 PM-4:00 PM ET,Meet at the intersection of Tech St. and Margaret Morrison,Open to entire CMU community,"Take a sneak peak into a state-of-the-art facility that is scheduled to open in fall 2024 and will be the vibrant hub for CMU students. The Highmark Center for Health, Wellness and Athletics will focus on the well-being of the students. Join us for a tour and see the major transformation of the former Skibo Gymnasium. Learn more about the new Highmark Center: https://www.cmu.edu/hwac/. All tour participants will be required to wear sturdy, closed-toe shoes.  Note: Advance registration required. No walk-ins. This event is open to alumni and parents.  Time Options  1-2 p.m. 2-3 p.m. 3-4 p.m.",Events_data/Documents/Apr-13_Eventno_32_TheHighmarkCenterforHealthWellnessandAthleticsTours.txt
Dog Houses Display,4/13/24,11:00 AM-11:00 PM ET,Between CUC Pillars,Open to entire CMU community,"The Dog Houses display is #7 on the map.  In addition to Booth, be sure to check out the creative dog houses built by various CMU organizations and groups.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.  Weekend hours:  Thursday: 3-11 p.m. Friday and Saturday: 11 a.m.-11 p.m.",Events_data/Documents/Apr-13_Eventno_23_DogHousesDisplay.txt
Here to Stay: Celebrating 40 Years at the Architecture Archives,4/13/24,9:00 AM-9:00 PM ET,"Smith Exhibit Space, 1st Floor, Hunt Library",Open to entire CMU community,"For the past 40 years, the Architecture Archives collections at Carnegie Mellon University has documented thousands of projects and the work of hundreds of designers. The exhibition highlights the wide diversity of materials from preliminary sketches to presentation renderings to specifications and photographs to publications and select architectural models which help piece together the rich history of the built environment of Pittsburgh and the region.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-13_Eventno_9_HeretoStayCelebrating40YearsattheArchitectureArchives.txt
School of Architecture Pavilion Dedication & Alumni Open House,4/13/24,1:00 PM-2:30 PM ET,"NOMAS entryway - Diagonal Walkway, Midway Entryway, The Cut",Open to School of Architecture Community,Drop by the official Spring Carnival entrance pavilion to meet School of Architecture Head Omar Khan and current students who designed and built this NOMAS-led project.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the Architecture community and their guests.,Events_data/Documents/Apr-13_Eventno_33_SchoolofArchitecturePavilionDedicationAlumniOpenHouse.txt
The Tartan Alumni & Student Reception,4/13/24,2:00 PM-3:00 PM ET,"The Tartan Office, Room 314, Cohon University Center",Open to alumni and families of The Tartan community,Meet the current student staff of The Tartan and mingle with your former classmates from your time as part of CMU's student-run newspaper.  Note: Registration required. No event fee. This event is for alumni and families of the The Tartan community and their guests.,Events_data/Documents/Apr-13_Eventno_37_TheTartanAlumniStudentReception.txt
Booth!,4/13/24,11:00 AM-11:00 PM ET,CFA Parking Lot,Open to entire CMU community,This year’s theme is “Let the Games Begin.” Be sure to check out every booth and cast your vote for the top choice in each category. Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.  Weekend hours:  Thursday: 3:30 to 11 p.m. Friday & Saturday: 11 a.m. to 11 p.m.,Events_data/Documents/Apr-13_Eventno_16_Booth.txt
Spring Carnival Booth & Sweepstakes Award Ceremony,4/13/24,4:30 PM-5:30 PM ET,,Open to entire CMU community,Note: No registration required. No event fee.,Events_data/Documents/Apr-13_Eventno_49_SpringCarnivalBoothSweepstakesAwardCeremony.txt
Buggy Donut Tent,4/13/24,8:00 AM-12:00 PM ET,Frew Street,Open to entire CMU community,The Donut Tent is #17 on the map.  All are welcome to stop by to grab a donut and refreshments in between races! Sponsored by the CMU Alumni Association.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.,Events_data/Documents/Apr-13_Eventno_1_BuggyDonutTent.txt
Scotch'n'Soda Theatre Carnival Show: The Little Mermaid,4/13/24,7:00 PM-9:00 PM ET,"Rangos Ballroom, Cohon University Center",Open to entire CMU community,"Come celebrate Carnival with Scotch'n'Soda Theatre, and join us for a performance under the sea! This year, Scotch'n'Soda is thrilled to present our production of Disney's The Little Mermaid! Adapted from the wildly popular animated film and Hans Christian Anderson's original fairytale, the musical follows Ariel, King Triton's youngest daughter, who wishes to explore the world up above and pursue the human Prince Eric. But the bargains and sea witches aren't all that they seem, and Ariel needs the help of her colorful friends, Flounder the fish, Scuttle the seagull and Sebastian the crab to restore order under the sea. Sing along with all of your favorite childhood classics, and come be a part of our world! Funded in part by the Student Activities Fee. Note: Disney's The Little Mermaid is presented through special arrangement with Music Theatre International (MTI). All authorized performance materials are also supplied by MTI.  Cost Tickets will be available online in March and at the door. Cost: $5 for students/faculty/staff; $10 for alumni and guests.  Weekend show times  Thursday: 7-9:30 p.m. Friday: 6-8:30 p.m. and 10 p.m.-12:30 a.m. Saturday: 3-5:30 p.m. and 7-9:30 p.m.",Events_data/Documents/Apr-13_Eventno_56_ScotchnSodaTheatreCarnivalShowTheLittleMermaid.txt
Dietrich College of Humanities and Social Sciences Brunch & Buggy,4/13/24,9:30 AM-12:00 PM ET,"Tent, Baker Hall Patio",Open to Dietrich College community,"Join members of the Dietrich community, enjoy a light brunch and to see those races up close. We hope to see you there!  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the Dietrich community and their guests. ",Events_data/Documents/Apr-13_Eventno_13_DietrichCollegeofHumanitiesandSocialSciencesBrunchBuggy.txt
Mellon College of Science Buggy Watch Party,4/13/24,9:30 AM-11:30 AM ET,"Studio A, 1st Floor, Hunt Library",Open to the Mellon College of Science community,"Join the Mellon College of Science alumni, parents, students and friends for a Buggy watching party over coffee and light refreshments. All MCS alumni, parents, students and friends are invited.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the MCS community.",Events_data/Documents/Apr-13_Eventno_14_MellonCollegeofScienceBuggyWatchParty.txt
Carnival Activities Tent,4/13/24,11:00 AM-7:00 PM ET,"Midway, The Cut",Open to entire CMU community,"The Activities Tent is #3 on the map.  Featuring entertainment and games for students, alumni, faculty and staff throughout the entire weekend. Sponsored by the Spring Carnival Committee and the CMU Alumni Association.  Activities include:  Face painter (11 a.m.-3 p.m.) Lunar Bots Demo (11 a.m.-7 p.m.) Photobooth with takeaway (11 a.m.-7 p.m.) Arcade games (11 a.m.-7 p.m.) Crafting with the Spring Carnival Committee (1-4 p.m.) Airbrush artist (3:30-7 p.m.) Balloon artist (3:30-7 p.m.)  Note: No registration required. No event fee. This event is open to students, faculty, staff and alumni. Parents: Check out the separate kidzone area for kid-focused fun and activities.  Weekend hours:  Thursday: 3-7 p.m. Friday & Saturday: 11 a.m.-7 p.m.",Events_data/Documents/Apr-13_Eventno_20_CarnivalActivitiesTent.txt
MechE Alumni Breakfast,4/13/24,9:30 AM-11:30 AM ET,"Lobby, 1st Floor, Scaife Hall",Open to alumni and families of the MechE community,"Mechanical Engineering alumni and their families are invited to join us in Scaife Hall to watch the Buggy races and enjoy breakfast pastries, coffee and community.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the MechE community and their guests.",Events_data/Documents/Apr-13_Eventno_12_MechEAlumniBreakfast.txt
Scotch'n'Soda Theatre Carnival Show: The Little Mermaid,4/13/24,3:00 PM-5:00 PM ET,"Rangos Ballroom, Cohon University Center",Open to entire CMU community,"Come celebrate Carnival with Scotch'n'Soda Theatre, and join us for a performance under the sea! This year, Scotch'n'Soda is thrilled to present our production of Disney's The Little Mermaid! Adapted from the wildly popular animated film and Hans Christian Anderson's original fairytale, the musical follows Ariel, King Triton's youngest daughter, who wishes to explore the world up above and pursue the human Prince Eric. But the bargains and sea witches aren't all that they seem, and Ariel needs the help of her colorful friends, Flounder the fish, Scuttle the seagull and Sebastian the crab to restore order under the sea. Sing along with all of your favorite childhood classics, and come be a part of our world! Funded in part by the Student Activities Fee. Note: Disney's The Little Mermaid is presented through special arrangement with Music Theatre International (MTI). All authorized performance materials are also supplied by MTI.  Cost Tickets will be available online in March and at the door. Cost: $5 for students/faculty/staff; $10 for alumni and guests.  Weekend show times  Thursday: 7-9:30 p.m. Friday: 6-8:30 p.m. and 10 p.m.-12:30 a.m. Saturday: 3-5:30 p.m. and 7-9:30 p.m.",Events_data/Documents/Apr-13_Eventno_46_ScotchnSodaTheatreCarnivalShowTheLittleMermaid.txt
"Delta Upsilon Reception for Alumni, Family and Friends",4/13/24 – 4/14/24,8:30 PM-1:00 AM ET,The Oaklander,Open to DU Community,"Reconnect with Delta Upsilon over heavy appetizers and drinks at private room at The Oaklander. This event is open to all DU alumni, family and friends. Food and drinks on your own.  Note: Registration required. Walk-ins are welcome if space permits. No event fee. Open to the DU community and guests.",Events_data/Documents/Apr-13_Eventno_57_DeltaUpsilonReceptionforAlumniFamilyandFriends.txt
Taste of Pittsburgh Food Truck Festival,4/13/24,11:00 AM-2:30 PM ET,East/West Walkway,Open to entire CMU community,Enjoy some of Pittsburgh's local food trucks on campus. Participating trucks will be listed in late March.  Note: No registration required. Pay on your own at food truck(s). This event is open to the entire CMU community and their guests.,Events_data/Documents/Apr-13_Eventno_15_TasteofPittsburghFoodTruckFestival.txt
Information Systems 40th Anniversary Celebration (Private event for IS community),4/13/24,12:00 PM-2:00 PM ET,"Connan Room, 1st Floor, CUC",Open to alumni and guests of the Information Systems community,IS alumni: Join us to celebrate 40 years of undergraduate information systems graduates at Carnegie Mellon University.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the IS community and their guests.,Events_data/Documents/Apr-13_Eventno_26_InformationSystems40thAnniversaryCelebrationPrivateeventforIScommunity.txt
Buggy Alumni Association Information Tent,4/13/24,8:00 AM-12:00 PM ET,Frew Street,Open to entire CMU community,Come by the Buggy Alumni Association tent during Sweepstakes races to meet your BAA officers and learn about our work.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.,Events_data/Documents/Apr-13_Eventno_2_BuggyAlumniAssociationInformationTent.txt
Carnival Wellness Tent,4/13/24,11:00 AM-7:00 PM ET,"Midway, The Cut",Open to entire CMU community,"Relax and breathe with calming activities, sessions, information and much more. Full schedule available in March. Sponsored by Wellness Initiatives and the CMU Alumni Association.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.  Weekend hours:  Thursday: 3-7 p.m. Friday & Saturday: 11 a.m. to 7 p.m.",Events_data/Documents/Apr-13_Eventno_22_CarnivalWellnessTent.txt
Beta Sigma Corporation Annual Meeting,4/13/24,1:00 PM-3:00 PM ET,"Room A51 (Giant Eagle Auditorium), Baker Hall",Open to Beta Sigma Corporation community,Join us for the annual meeting of the Beta Sigma Chapter of Pi Kappa Alpha with lunch included.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the Beta Sigma Corporation community.,Events_data/Documents/Apr-13_Eventno_28_BetaSigmaCorporationAnnualMeeting.txt
50th Reunion Medallion Luncheon (1974 and Half Century Tartans),4/13/24,11:30 AM-1:30 PM ET,"Alumni Concert Hall, CFA",Reunion Exclusive,"Join us for the Class of 1974 induction into the Half Century Tartans and celebrate with CMU leadership at this annual recognition event.  As new members, you will receive your 50th Reunion Medallion during the event. The Half Century Tartans recognizes all alumni who have celebrated 50 or more years as an alumnus with Carnegie Mellon. All Half Century Tartans members are invited to attend as well.  Note: Registration required. No event fee. This event is open to the Class of 1974 and Half Century Tartans alumni and their guests.",Events_data/Documents/Apr-13_Eventno_25_50thReunionMedallionLuncheon1974andHalfCenturyTartans.txt
Carnival Headquarters Tent: Check-In & Registration,4/13/24,8:00 AM-7:00 PM ET,"Midway, The Cut (Rain location: Wean Commons, 1st Floor, CUC)",Open to entire CMU community,"The Carnival Headquarters Tent is #1 on the map - look for the giant inflatable Scotty dog!  Open to the entire Tartan community! Make this your first stop to check in, download the app and register to win the daily Tartan Swag Bag giveaway.  Weekend hours: Thursday through Saturday: 8 a.m. to 7 p.m.",Events_data/Documents/Apr-13_Eventno_4_CarnivalHeadquartersTentCheckInRegistration.txt
Friends of Engineering Bridge Unveiling,4/13/24,1:00 PM-2:30 PM ET,The Cut near entrance to Hamerschlag Hall,Open to Engineering alumni and families,"Please join Dean Bill Sanders in unveiling the Friends of Engineering Bridge, a beautiful installation honoring the College of Engineering community, including alumni, parents and friends.  Located as you descend the stairs to the Engineering Quad between Hamerschlag Hall and ANSYS Hall, the area serves as a meaningful landmark signifying the bridge between the College of Engineering's past and future.  Refreshments will be available.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the Engineering community.",Events_data/Documents/Apr-13_Eventno_29_FriendsofEngineeringBridgeUnveiling.txt
Reunion Buggy Watch Tent,4/13/24,8:00 AM-12:00 PM ET,Frew Street,Reunion Exclusive,The Reunion Buggy Watch Tent is #18 on the map.  View the race from our Reunion Watch Tent located on Hill 5!  Note: No registration required. No event fee. Open to alumni Reunion celebrants and their guests only.,Events_data/Documents/Apr-13_Eventno_6_ReunionBuggyWatchTent.txt
