EventName,Date,Time,Location,Participants,Details,DocID
Mobot Recap Watch Party,4/12/24,3:00 PM-4:00 PM ET,"Rashid Auditorium, Gates & Hillman Centers",Open to entire CMU community,Join others in the Mobot community for a recap of the 2024 Mobot races.  Note: No registration required. No event fee. Open to CMU community and their guests.,Events_data/Documents/Apr-12_Eventno_35_MobotRecapWatchParty.txt
15th and 20th Reunion Reception (2004 and 2009),4/12/24,7:00 PM-9:00 PM ET,"Connan Room, 1st Floor, CUC",Reunion Exclusive,"Reconnect with former classmates at this signature reunion event. Enjoy a variety of food stations, beverages and desserts!  Note: Registration required. This event is open to alumni from the Classes of 2004 and 2009 and their guests only.  Cost:  Now through Feb. 23: $25 per attendee for alumni and guests. Feb. 24-Apr. 5: $35 per attendee for alumni and guests.",Events_data/Documents/Apr-12_Eventno_52_15thand20thReunionReception2004and2009.txt
NROTC Flag Raising,4/12/24,8:00 AM-8:15 AM ET,"University Flagpole, The Cut",Open to entire CMU community,Join the NROTC in this reflective time.  Note: No registration required. Walk-ins welcome. No event fee. This event is open to the entire CMU community and their guests. ,Events_data/Documents/Apr-12_Eventno_7_NROTCFlagRaising.txt
Scotch'n'Soda Theatre Carnival Show: The Little Mermaid,4/12/24,4/12/24 – 4/13/24,Open to entire CMU community,10:00 PM-12:30 AM ET,"Rangos Ballroom, Cohon University Center Join Scotch'n'Soda Theatre for a performance under the sea! This year, Scotch'n'Soda is thrilled to presentDisney'sThe Little Mermaid! Adapted from the wildly popular animated film and Hans Christian Anderson's original fairytale, the musical follows Ariel, King Triton's youngest daughter, who wishes to explore the world up above and pursues the human Prince Eric. But the bargains and sea witches aren't all that they seem, and Ariel needs the help of her colorful friends, Flounder the fish, Scuttle the seagull and Sebastian the crab to restore order. Sing along with all of your favorite childhood classics, and come be a part of our world! Funded in part by the Student Activities Fee. Tickets will be available online in March and at the door. Cost: $5 for students/faculty/staff; $10 for alumni and guests.Note: Disney's The Little Mermaid is presented through special arrangement with Music Theatre International (MTI). All authorized performance materials are also supplied by MTI.  Cost Tickets will be available online in March and at the door. Cost: $5 for students/faculty/staff; $10 for alumni and guests.  Weekend show times  Thursday: 7-9:30 p.m. Friday: 6-8:30 p.m. and 10 p.m.-12:30 a.m. Saturday: 3-5:30 p.m. and 7-9:30 p.m.",Events_data/Documents/Apr-12_Eventno_55_ScotchnSodaTheatreCarnivalShowTheLittleMermaid.txt
"Electrical and Computer Engineering's Totes, T-shirts and Tacos!",4/12/24,3:00 PM-5:00 PM ET,"Singleton room, 4th Floor, Roberts Engineering Hall",Open to alumni and families of the ECE community,"Stop by to mingle with fellow ECE alumni and grab some totes, t-shirts and tacos!  Note: Registration required. No event fee. Open to members of the ECE community and their guests.",Events_data/Documents/Apr-12_Eventno_34_ElectricalandComputerEngineeringsTotesTshirtsandTacos.txt
IDeATE Open Studios,4/12/24,11:00 AM-2:00 PM ET,"IDeATe Studio A, 1st Floor, Hunt Library",,"​​Want to learn more about soft technologies, physical computing, sonic arts, or game design on campus? Want to playtest some new video games or step inside a VR experience? Alumni and friends are encouraged to make a creative Carnival stop at the IDeATe Open Labs & Studios in Hunt Library. Come learn more about interdisciplinary student projects and unique immersive course events. Meet us at the intersection of Art and Technology, where creative and technical skills are leveled up, where the ideas flow freely—let the games begin!  Note: Registration required. Walk-ins are welcome if space permits. No event fee. Open to the entire CMU community and guests. ",Events_data/Documents/Apr-12_Eventno_21_IDeATEOpenStudios.txt
Reunion Buggy Watch Tent,4/12/24,8:00 AM-12:00 PM ET,"Tent, Frew Street",Reunion Exclusive,The Reunion Buggy Watch Tent is #18 on the map.  View the race from the Reunion Watch Tent located on Hill 5!  Note: No registration required. Walk-ins welcome. No event fee. This event is open to Reunion celebrants and their guests.,Events_data/Documents/Apr-12_Eventno_8_ReunionBuggyWatchTent.txt
Tartans Got Talent,4/12/24,8:30 PM-10:00 PM ET,"McConomy Auditorium, Cohon University Center",Open to entire CMU community,"Join the Spring Carnival Committee (SCC) in celebrating talented students with the annual ""Tartans Got Talent!"" show.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-12_Eventno_54_TartansGotTalent.txt
Carnival Rides,4/12/24,11:00 AM-11:00 PM ET,"Midway, The Cut",Open to entire CMU community,"The Carnival Headquarters Tent is #1 on the map - look for the giant inflatable Scotty dog!  Make this your first stop to check in, download the app and register to win the daily Tartan Swag Bag giveaway.  Weekend hours:  Thursday: 3-11 p.m. Friday & Saturday: 11 a.m.-11 p.m.  Note: No registration required. Individual tickets or all-day passes may be purchased onsite at the vendor’s ticketing booth.",Events_data/Documents/Apr-12_Eventno_18_CarnivalRides.txt
Mellon College of Science Class of 1974 50th Reunion Celebration,4/12/24,4:00 PM-5:00 PM ET,"Danforth Lounge, 2nd Floor, CUC",Reunion Exclusive,The Mellon College of Science invites MCS alumni from the Class of 1974 to join them for a celebration.  Note: Registration required. No event fee. This event is open to the MCS Class of 1974 and their guests. ,Events_data/Documents/Apr-12_Eventno_43_MellonCollegeofScienceClassof197450thReunionCelebration.txt
5th and 10th Reunion Reception (2014 and 2019),4/12/24,7:00 PM-9:00 PM ET,"Danforth Conference Room and Lounge, 2nd Floor, Cohon University Center",Reunion Exclusive,"Reconnect with former classmates at this signature reunion event. Enjoy a variety of food stations, beverages and desserts!  Note: Registration required. This event is open to alumni from the Classes of 2014 and 2019 and their guests only.  Cost:  Now through Feb. 23: $15 per attendee for alumni and guests. Feb 24.-Apr. 5: $20 per attendee for alumni and guests.",Events_data/Documents/Apr-12_Eventno_53_5thand10thReunionReception2014and2019.txt
Carnival Wellness Tent,4/12/24,11:00 AM-7:00 PM ET,"Midway, The Cut",Open to entire CMU community,"The Wellness Tent is #5 on the map.  Relax and breathe with calming activities, sessions, information on new university wellness initiatives and much more. Sponsored by Wellness Initiatives and the CMU Alumni Association.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.  Weekend hours:  Thursday: 3-7 p.m. Friday & Saturday: 11 a.m. to 7 p.m.",Events_data/Documents/Apr-12_Eventno_17_CarnivalWellnessTent.txt
Material Science and Engineering (MSE) Alumni Deck Party,4/12/24,3:30 PM-5:30 PM ET,"Room 3300, Corridor Deck, Wean Hall (Rain location: Room 2325, Wean Hall)",Open to MSE alumni,Alumni of the Materials Science and Engineering Department (and their guests) are invited to catch up with the faculty and staff on the MSE Deck for a happy hour.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the alumni and guests of the MSE community. ,Events_data/Documents/Apr-12_Eventno_38_MaterialScienceandEngineeringMSEAlumniDeckParty.txt
Buggy Bash,4/12/24,7:00 PM-9:00 PM ET,"Schatz Dining Room, 2nd Floor, CUC",Open to the Buggy community,"Buggy Bash RD24 is here! Join buggy students and alumni for a night of food, trivia and our finals lead truck auction. This auction will be open on the Buggy Alumni Association website on April 11 until 11 p.m.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the Buggy community and their guests.",Events_data/Documents/Apr-12_Eventno_51_BuggyBash.txt
Reunion Exclusive Tours,4/12/24,10:00 AM-1:00 PM ET,Starting location: Reunion Tent,Reunion Exclusive,"The Reunion Tent is #4 on the map.  Be sure to register early for these Reunion exclusive tours! Full descriptions listed in registration.  Underground Steam Tunnels 10 a.m., 11:15 a.m. and 12:30 p.m. (accessible) Highmark Center for Health, Wellness and Athletics Tours 10 a.m. and 11 a.m. School of Drama Costume Design Tour 10 a.m. and 11:30 a.m. Exclusive 25th and 50th Campus Tours: When Did They Build That? 12 p.m.  Note: Registration required. No event fee. Open to Reunion alumni only. When tours reach capacity, you may go to the Reunion Tent 15 minutes prior to tour to be on standby.",Events_data/Documents/Apr-12_Eventno_11_ReunionExclusiveTours.txt
Heinz Network Pittsburgh (Invitation Only),4/12/24,6:30 PM-8:30 PM ET,,Open to members of the Heinz community,"A long-standing tradition that brings together current students, Pittsburgh alumni and Heinz College faculty and staff. Enjoy beverages and light appetizers while you connect with the Heinz community.  Note: Separate registration required.",Events_data/Documents/Apr-12_Eventno_50_HeinzNetworkPittsburghInvitationOnly.txt
Mixed Reality: A Virtual Reality Escape Room Experience,4/12/24,2:00 PM-11:00 PM ET,Location TBA,Open to entire CMU community,"Get ready to experience an evolution of gaming as participants step through a Meta Quest 3-powered walkthrough/escape room with interactive installations. This project is part of the LBE Project Showcase, which is hosted by master's students from the Entertainment Technology Center (ETC).  Note: No advance registration required. No event fee. This event is open to the entire CMU community and their guests. This experience is recommended for children ages 12 and older. ",Events_data/Documents/Apr-12_Eventno_31_MixedRealityAVirtualRealityEscapeRoomExperience.txt
NROTC Award Ceremony,4/12/24,4:00 PM-5:00 PM ET,"McConomy Auditorium, Cohon University Center",Open to NROTC Community,Join the NROTC as they recognize outstanding academic achievement at the annual Award Ceremony. Reception immediately follows.  Note: No registration required. No event fee. This event is open to the NROTC community and their guests.,Events_data/Documents/Apr-12_Eventno_42_NROTCAwardCeremony.txt
Heinz Alumni Association Awards (Invitation Only),4/12/24,6:00 PM-6:45 PM ET,,Open to members of the Heinz community,Heinz College Alumni Award Presentation and Reception hosted by Dean Ramayya Krishnan and the Heinz College Alumni Association Board as we recognize the achievements of three of our outstanding alumni. Check out the Heinz Alumni Association Awards Program to learn about this year's recipients and details about the awards.  Note: Separate registration required.,Events_data/Documents/Apr-12_Eventno_48_HeinzAlumniAssociationAwardsInvitationOnly.txt
Biomedical Engineering (BME) Sweets and Treats,4/12/24,2:00 PM-4:00 PM ET,"3rd Floor Collaboratory, Scott Hall",,"Meet, mix and mingle with alumni, current students and faculty. Get an update on current events in the department. Families and children are welcome!  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the BME community and their guests.",Events_data/Documents/Apr-12_Eventno_32_BiomedicalEngineeringBMESweetsandTreats.txt
Reunion Reserved Seating During Campus Community Lunch,4/12/24,11:30 AM-1:30 PM ET,"Reunion Tent, The Cut",Reunion Exclusive,The Reunion Tent is #4 on the map.  Reunion attendees are welcome to celebrate campus sustainability at a complimentary lunch open to the entire CMU community. There will be reserved seating in the Reunion Tent for all Reunion celebrants with a name badge.  Note: No registration required. Walk-ins welcome. No event fee. This event is open to alumni Reunion celebrants and their guests only. ,Events_data/Documents/Apr-12_Eventno_23_ReunionReservedSeatingDuringCampusCommunityLunch.txt
50th Reunion Breakfast/Then & Now Presentation (1974),4/12/24,9:00 AM-11:00 AM ET,"Danforth Conference Room and Lounge, 2nd Floor, Cohon University Center",Reunion Exclusive,"Join fellow classmates for a welcome breakfast, reliving your time as students and learning about today’s Carnegie Mellon from University Archivist Julia Corrin.  Can't make it back to campus? Register for the livestream during registration. Additionally, a closed-captioned recording will be available on the Carnival website a week after Carnival.  Note: Registration required. No event fee. This event is open to the Class of 1974 and Half Century Tartan Reunion celebrants.",Events_data/Documents/Apr-12_Eventno_9_50thReunionBreakfastThenNowPresentation1974.txt
"ChemE Alumni, Faculty & Student Mixer",4/12/24,3:00 PM-5:00 PM ET,"Room A227, Doherty Hall",Open to alumni and families of the ChemE community,ChemE alumni are invited to join the faculty and students in the Rothfus Lab for a meet and greet with refreshments. Catch up on what's new with student and faculty research projects and other department activities.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the ChemE community and their guests.,Events_data/Documents/Apr-12_Eventno_33_ChemEAlumniFacultyStudentMixer.txt
Engineering and Public Policy (EPP) Ice Cream Social,4/12/24,3:30 PM-5:30 PM ET,Location TBA,Open to EPP community,"EPP students, alumni, parents and families are invited to join the EPP faculty and staff for ice cream sundaes.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to EPP alumni and their guests. ",Events_data/Documents/Apr-12_Eventno_37_EngineeringandPublicPolicyEPPIceCreamSocial.txt
"Lunar Bots, Roll Out!",4/12/24,11:00 AM-7:00 PM ET,"Midway Activities Tent, The Cut",Open to entire CMU community,"Lunar Bots will be in the Activities Tent, which is #3 on the map.  Come check out CMU's lunar rovers, meet the students who just operated the first American robotic lunar rover in space at irisrover.space, drive one of our test robots, and get some cool space mission merch! Follow us on Instagram @iris_rover and @cmumoonranger. Additional weekend hours are 3-7 p.m. on  Thursday and 11 a.m.-7 p.m. on Saturday.  Note: No registration required. No event fee. This event is open to the CMU community.",Events_data/Documents/Apr-12_Eventno_16_LunarBotsRollOut.txt
Order of the May (Invitation Only),4/12/24,6:00 PM-8:00 PM ET,,"Private event, invitation only","The Order of the May celebrates consecutive giving to the university, with a formal induction of donors who have given consecutively for 25 years as lifetime members of the Order. This signature event has become a tradition for consecutive donors and provides CMU with a unique opportunity to recognize their loyalty. A reception will follow the ceremony. Learn more about the Order of the May.  Note: Separate reservation required. ",Events_data/Documents/Apr-12_Eventno_49_OrderoftheMayInvitationOnly.txt
Buggy Donut Tent,4/12/24,8:00 AM-12:00 PM ET,"Tent, Frew Street",Open to entire CMU community,The Donut Tent is #17 on the map.  Stop by to grab a donut and refreshments in between watching the races! Sponsored by the CMU Alumni Association.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.,Events_data/Documents/Apr-12_Eventno_1_BuggyDonutTent.txt
Carnival Activities Tent,4/12/24,11:00 AM-7:00 PM ET,"Midway, The Cut",Open to entire CMU community,"The Activities Tent is #3 on the map.  Featuring entertainment and games for students, alumni, faculty and staff throughout the entire weekend. Sponsored by the Spring Carnival Committee and the CMU Alumni Association.  Activities include:  Face painter (11 a.m.-3 p.m.) Lunar Bots Demo (11 a.m.-7 p.m.) Photobooth with takeaway (11 a.m.-7 p.m.) Arcade games (11 a.m.-7 p.m.) Balloon artist (1-3 p.m.) Crafting with HR Family Care Initiatives (1-4 p.m.) Crafting with the Carnival Committee (2-4 p.m.) Airbrush artist (3:30-7 p.m.) Balloon artist (3:30-7 p.m.)  Note: No registration required. No event fee. This event is open to students, faculty, staff and alumni. Parents: Check out the separate kidzone area for kid-focused fun and activities.  Weekend hours:  Thursday: 3-7 p.m. Friday & Saturday: 11 a.m. to 7 p.m.",Events_data/Documents/Apr-12_Eventno_13_CarnivalActivitiesTent.txt
Dog Houses Display,4/12/24,11:00 AM-11:00 PM ET,Between CUC Pillars,Open to entire CMU community,"The Dog Houses display is #7 on the map.  In addition to Booth, be sure to check out the creative dog houses built by various CMU organizations and groups.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.  Weekend hours:  Thursday: 3-11 p.m. Friday and Saturday: 11 a.m.-11 p.m.",Events_data/Documents/Apr-12_Eventno_14_DogHousesDisplay.txt
Meet & Greet with the Beep-Boop,4/12/24,11:00 AM-11:00 PM ET,Legacy Plaza,Open to entire CMU community,"The audible crosswalk annunciator that protected our community at Forbes and Morewood is back! Press the cross button worn smooth by thousands running late to class.  First-years: If you missed it at Homecoming, now is the time to meet the campus legend. Veteran Boopers: Rekindle your love with a Beep-Boop selfie.  Weekend hours:  Thursday: 3-11 p.m. Friday and Saturday: 11 a.m.-11 p.m.  Note: No registration required. Walk-ins welcome. No event fee. This event is open to the entire CMU community and Carnival guests.",Events_data/Documents/Apr-12_Eventno_20_MeetGreetwiththeBeepBoop.txt
Livestream of Then & Now Presentation,4/12/24,10:00 AM-11:00 AM ET,Livestream,Virtual Event: Open to All,Join the livestream to relive your time as a student and hear about Carnegie Mellon today with a presentation of CMU’s past and present by University Archivist Julia Corrin.  Note: This event is open to the entire CMU Community. Link will be added approximately a week prior to the event.,Events_data/Documents/Apr-12_Eventno_12_LivestreamofThenNowPresentation.txt
Scotch'n'Soda Theatre Carnival Show: The Little Mermaid,4/12/24,6:00 PM-8:30 PM ET,"Rangos Ballroom, Cohon University Center",Open to entire CMU community,"Join Scotch'n'Soda Theatre for a performance under the sea! This year, Scotch'n'Soda is thrilled to presentDisney'sThe Little Mermaid! Adapted from the wildly popular animated film and Hans Christian Anderson's original fairytale, the musical follows Ariel, King Triton's youngest daughter, who wishes to explore the world up above and pursues the human Prince Eric. But the bargains and sea witches aren't all that they seem, and Ariel needs the help of her colorful friends, Flounder the fish, Scuttle the seagull and Sebastian the crab to restore order. Sing along with all of your favorite childhood classics, and come be a part of our world! Funded in part by the Student Activities Fee. Tickets will be available online in March and at the door. Cost: $5 for students/faculty/staff; $10 for alumni and guests.Note: Disney's The Little Mermaid is presented through special arrangement with Music Theatre International (MTI). All authorized performance materials are also supplied by MTI.  Cost Tickets will be available online in March and at the door. Cost: $5 for students/faculty/staff; $10 for alumni and guests.  Weekend show times  Thursday: 7-9:30 p.m. Friday: 6-8:30 p.m. and 10 p.m.-12:30 a.m. Saturday: 3-5:30 p.m. and 7-9:30 p.m.",Events_data/Documents/Apr-12_Eventno_46_ScotchnSodaTheatreCarnivalShowTheLittleMermaid.txt
Booth!,4/12/24,11:00 AM-11:00 PM ET,CFA Parking Lot,Open to entire CMU community,Booth is #9 on the map.  This year’s theme is “Arcade: Let the Games Begin.” Be sure to check out every booth and cast your vote for the top choice in each category.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.  Weekend hours:  Thursday: 3-11 p.m. Friday & Saturday: 11 a.m.-11 p.m.,Events_data/Documents/Apr-12_Eventno_15_Booth.txt
Douse-a-Dean,4/12/24,12:30 PM-3:00 PM ET,"Midway, The Cut",Open to entire CMU community,"All proceeds from the event will go to the Special Olympics of Pennsylvania (SOPA). The Carnegie Mellon University Police Department has been involved with SOPA for many years with our police officers, security officers, dispatchers and families volunteering for a number of SOPA activities. The college/school raising the most money will be awarded the Douse-a-Dean Loving Cup to proudly display for the year. Provost James Garrett has made the challenge, and the deans have accepted. Dean dousing schedule will be announced in late March.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-12_Eventno_26_DouseaDean.txt
Preliminary Sweepstakes Races,4/12/24,8:00 AM-12:00 PM ET,Tech & Frew streets (in-person) and Livestream (virtual),Open to entire CMU community,"Come watch the CMU tradition where teams compete in an exciting sport best described as a mix between a relay race and bobsled!  Can't make it back to campus? We'll livestream the races through cmuTV. You may also tune into WRCT Radio to hear play-by-play. Register for calendar hold during registration. If you're interested in being a part of our live chat, join our BAA Discord at cmubuggy.org/chat.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-12_Eventno_2_PreliminarySweepstakesRaces.txt
Campus Community Lunch,4/12/24,11:30 AM-1:30 PM ET,"Between Purnell and Cohon University Center, East/West Walkway (rain location: under CUC loggia)",Open to entire CMU community,"This complimentary lunch is open to the entire CMU community, while supplies last.  Staff and Faculty: Stop by the Ice Cream Social area during the Campus Community Lunch to meet members of Staff Council. Additionally, members of the Employee Resources Group (ERG) will be around to share information about various opportunities.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-12_Eventno_22_CampusCommunityLunch.txt
Pi Kappa Alpha Alumni Gathering,4/12/24,1:00 PM-3:00 PM ET,"Peter, Wright and McKenna Rooms, 2nd Floor, Cohon University Center",Open to PiKA Community,"All PiKA undergraduates, alumni of all years, parents and their children are invited to attend this luncheon and are strongly encouraged to RSVP.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the Pi Kappa Alpha community.",Events_data/Documents/Apr-12_Eventno_28_PiKappaAlphaAlumniGathering.txt
Annual MOBOT Races,4/12/24,12:00 PM-2:00 PM ET,Race Course by Wean Hall,Open to entire CMU community,"The School of Computer Science welcomes all members of the Carnegie Mellon community to participate in the annual Carnegie Mellon Mobot Races (""MObile roBOTs"") along a slalom course. The competition provides participants an opportunity to demonstrate their technological creativity, while encouraging interdisciplinary teams to attack the challenges in the race course. Sponsored by Lockheed Martin, Boeing, Aptiv and the School of Computer Science.  Interested in competing? Send e-mail to mobot@cs.cmu.edu to have your name added to the list of Mobot ""subscribers."" Please do this even if you were on the list last year. Subscribers will be sent a copy of the official race rules and will be kept informed of race announcements and developments.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-12_Eventno_25_AnnualMOBOTRaces.txt
Here to Stay: Celebrating 40 Years at the Architecture Archives,4/12/24,8:00 AM-6:00 PM ET,"Smith Exhibit Space, 1st Floor, Hunt Library",Open to entire CMU community,"For the past 40 years, the Architecture Archives collections at Carnegie Mellon University has documented thousands of projects and the work of hundreds of designers. The exhibition highlights the wide diversity of materials from preliminary sketches to presentation renderings to specifications and photographs to publications and select architectural models which help piece together the rich history of the built environment of Pittsburgh and the region.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-12_Eventno_4_HeretoStayCelebrating40YearsattheArchitectureArchives.txt
Design Alumni Gathering,4/12/24,2:00 PM-4:00 PM ET,"Room 121 and the Joseph Ballay Center for Design Fusion, Margaret Morrison",Open to alumni and families of Design community,"All School of Design alumni and their guests are welcomed to join us in Margaret Morrison to  mingle with fellow alumni and faculty. Mark Baskinger, Director of the Joseph Ballay Center for Design Fusion, we give scheduled presentations to share the progress of the Ballay Center. We look forward to welcoming you back to Maggie Mo.  Note: Registration required. No event fee. This event is open to the Design alumni community and their guests.",Events_data/Documents/Apr-12_Eventno_29_DesignAlumniGathering.txt
Buggy Alumni Association Information Tent,4/12/24,8:00 AM-12:00 PM ET,"Tent, Frew Street",Open to entire CMU community,Come by the Buggy Alumni Association tent during Sweepstakes races to meet your BAA officers and learn about our work.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.,Events_data/Documents/Apr-12_Eventno_6_BuggyAlumniAssociationInformationTent.txt
Stephen and Joyce Fienberg Memorial Lecture,4/12/24,4:00 PM-5:15 PM ET,"Mellon Auditorium (A35), Posner",Open to entire CMU community,"The lecture is a tribute to the late Stephen and Joyce Fienberg for their distinctive contributions to the statistical community.  This year's lecturer is Alicia L. Carriquiry, Distinguished Professor and President's Chair, Director of the Center for Statistics and Applications in Forensic Evidence at Iowa State University. Attendees are welcome to attend the reception in the Rachel Mellon Walton Room that follows.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the entire CMU community and their guests. ",Events_data/Documents/Apr-12_Eventno_41_StephenandJoyceFienbergMemorialLecture.txt
TRANSformation through Creation,4/12/24,1:00 PM-2:30 PM ET,"Studio Theater, 1st Floor, CUC",Open to entire CMU community,"PRISM and QAAC will be hosting an interactive event to showcase queer talent from students, alumni, and Pittsburgh locals. Performers will showcase their talents, reflect on their queer experiences, and facilitate an engaging activity and/or discussion with the audience. Queer artists will also be presenting their art installations and sharing their inspirations.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-12_Eventno_27_TRANSformationthroughCreation.txt
Statistics & Data Science Alumni & Department Lunch,4/12/24,12:00 PM-2:00 PM ET,"Tent, Baker Hall Patio","Open to alumni, graduate students and faculty/staff of the Statistics & Data Science community","Alumni and graduate students are invited to join the Statistics and Data Science Department current faculty and staff for a lunch and opportunity to reconnect. This event is open to alumni, graduate students, faculty and staff of the Statistics and Data Science department.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to graduate students, alumni, faculty and staff of the Statistics & Data Science Department.",Events_data/Documents/Apr-12_Eventno_24_StatisticsDataScienceAlumniDepartmentLunch.txt
AB Tech Alumni & Student Mixer,4/12/24,4:00 PM-6:00 PM ET,"Tent, Baker Hall Patio (Rain location: McKenna, Peter and Wright Rooms, 2nd Floor, CUC)",Open to AB Tech Community,"Join current and former members of AB Tech for food, fun and conversation during our annual Spring Carnival gathering.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the AB Tech community and their guests.  Cost:  $10/per attendee for alumni and guests No fee for undergraduate students.",Events_data/Documents/Apr-12_Eventno_39_ABTechAlumniStudentMixer.txt
